name,tags,view_url,direct_url
Dance,anime;dance,https://tenor.com/view/kita-ikuyo-dancing-gif-3289877078975002376,https://c.tenor.com/Laf9xdcBNwgAAAAC/kita-ikuyo-dancing.gif
Blush,anime;blush,https://tenor.com/view/1-gif-14412421471089951780,https://c.tenor.com/yAM097mHhCQAAAAC/1.gif
Eepy,anime;sleepy;snuggly,https://tenor.com/view/anime-frieren-sleepy-sleep-tired-gif-2563850338358970260,https://c.tenor.com/I5SgTIMmx5QAAAAC/anime-frieren.gif
Nuh Uh,anime;nuh uh,https://tenor.com/view/bocchi-the-rock-gif-12900301249506497666,https://c.tenor.com/swcTo0Bc1IIAAAAC/bocchi-the-rock.gif
Headpats,anime;headpats,https://tenor.com/view/cat-girl-head-pat-headpat-anime-gif-15491115994804690187,https://c.tenor.com/1vt_6_y0nQsAAAAC/cat-girl-head-pat.gif
Blush,anime;blush;fluster,https://tenor.com/view/ueno-san-anime-blushing-sweating-shy-gif-16711025326695882653,https://c.tenor.com/5-l8_u5Dn50AAAAC/ueno-san-anime.gif
Noted!,noted,https://cdn.discordapp.com/emojis/929554160309919765.webp?animated=true,https://cdn.discordapp.com/emojis/929554160309919765.webp?animated=true
Smug,anime;smug,https://tenor.com/view/chika-love-is-war-triumphant-smug-anime-gif-24240862,https://c.tenor.com/MQ610z61FU4AAAAC/chika-love-is-war.gif
Huh?,anime;huh;what;confused,https://tenor.com/view/anime-girl-confused-tilting-head-gif-10395821837997957003,https://c.tenor.com/kEVg4dod34sAAAAC/anime-girl.gif
What was that?,anime,https://tenor.com/view/dont-toy-with-me-miss-nagatoro-hayase-hayase-nagatoro-anime-miss-nagatoro-gif-3194964525569635045,https://c.tenor.com/LFbLTvCNcuUAAAAC/dont-toy-with-me-miss-nagatoro-hayase.gif
Happi!,anime;happy;smug;blissful,https://tenor.com/view/anime-girl-happy-gif-17569687980361230361,https://c.tenor.com/89QSIUPhqBkAAAAC/anime-girl-happy.gif
Grr,anime;angry;grr,https://tenor.com/view/angry-anime-girl-angry-funny-anime-faces-kaede-johan-nouvelle-assault-lily-bouquet-gif-20416942,https://c.tenor.com/Qd_gBZmy_rMAAAAC/angry-anime-girl-angry-funny.gif
Uhhh,anime;what;shy;embarassed;uh;nervous,https://tenor.com/view/anime-girl-thumbs-teary-nervous-gif-12200718,https://c.tenor.com/bCxJp_PhqMcAAAAC/anime-girl.gif
Flustered,anime;flustered;embarassed;blush,https://tenor.com/view/steaming-stressed-stress-girl-anime-gif-9411558708912965904,https://c.tenor.com/gpySx_t9yRAAAAAC/steaming-stressed.gif
Blehhh,anime,https://tenor.com/view/kasumi-nakasu-love-live-nijigasaki-school-idol-club-anime-nijigasaki-tongue-out-gif-26918639,https://c.tenor.com/awS3RqmCyh8AAAAC/kasumi-nakasu-love-live-nijigasaki-school-idol-club.gif
Anxiety,anime;scared;nervous;anxious,https://tenor.com/view/trembling-fear-anxiety-scared-anime-girl-gif-14852653659199450230,https://c.tenor.com/zh85z3B9LHYAAAAC/trembling-fear.gif
Confusion,anime;confused;what;buffering,https://tenor.com/view/anime-confused-loading-paper-thinking-gif-23758618,https://c.tenor.com/Gv1cMkqev0wAAAAC/anime-confused.gif
Triple Hug,anime;hug;cuddle,https://tenor.com/view/anime-yuri-watayuri-watashi-no-yuri-wa-oshigoto-desu-yuri-is-my-job-gif-6127835587469073892,https://c.tenor.com/VQpyAAkXXeQAAAAC/anime-yuri.gif
Smug,anime;smug,https://tenor.com/view/smug-anime-girl-cute-kawaii-gif-17855744,https://c.tenor.com/W3CSW0dbl9YAAAAC/smug-anime.gif
Yay!,anime;yay;yippie;excited,https://tenor.com/view/anime-yay-gif-22117749,https://c.tenor.com/4_z6kFC1_sAAAAAC/anime-yay.gif
Pout,anime;pout,https://tenor.com/view/anime-gif-20554859,https://c.tenor.com/4B1GB5Jpzf8AAAAC/anime.gif
Cry,anime;cry;sob;tears,https://tenor.com/view/horimiya-anime-crying-teary-eyes-gif-16110711996255784827,https://c.tenor.com/35S_M89zT3sAAAAC/horimiya-anime.gif
Shock,anime;shock;what,https://tenor.com/view/dokibird-doki-shocked-breakup-apex-legends-gif-18267861778817599472,https://c.tenor.com/_YR7gCRbx_AAAAAC/dokibird-doki.gif
Hehehe,anime;hehehe;vampire;sleepy,https://tenor.com/view/anime-anime-girl-sus-sleeping-vampire-gif-12742281748654218109,https://c.tenor.com/sNWtvSh6W30AAAAC/anime-anime-girl.gif
Panick,anime;panic,https://tenor.com/view/nervous-scared-anime-terrified-afraid-gif-16454077,https://c.tenor.com/RVlKw-lkIm0AAAAC/nervous-scared.gif
Wave,anime;wave,https://tenor.com/view/pjsk-pjsk-anime-project-sekai-anime-project-sekai-pjsekai-gif-13607249181406427002,https://c.tenor.com/vNapCUP0d3oAAAAC/pjsk-pjsk-anime.gif
Shock,anime;shock,https://tenor.com/view/okitsura-anime-kana-higa-funny-shocked-gif-9558697061359404758,https://c.tenor.com/hKdQVUnlxtYAAAAC/okitsura-anime.gif
Nuzzle,anime;nuzzle;cuddle,https://tenor.com/view/virgin-road-anime-nuzzle-gif-25498703,https://c.tenor.com/L5okNZ6GO40AAAAC/virgin-road-anime-nuzzle.gif
Teehee,anime;smug;teehee,https://tenor.com/view/blue-box-ao-no-hako-aonohako-hina-blue-box-hina-chouno-hina-gif-11183049685635494077,https://c.tenor.com/mzIscFHY8L0AAAAC/blue-box-ao-no-hako.gif
LEMME AT 'IM,anime,https://tenor.com/view/lycoris-lycoris-recoil-recoil-chisato-chisato-nishikigi-gif-1043116124580096178,https://c.tenor.com/DnnklrEUKLIAAAAC/lycoris-lycoris-recoil.gif
Yell,anime;yell;shout,https://tenor.com/view/evangelion-neon-genesis-evangelion-asuka-yelling-scolding-gif-27272433,https://c.tenor.com/sz2Gc2N8Ip0AAAAC/evangelion-neon-genesis-evangelion.gif
EEEEE,anime;excited;eee,https://tenor.com/view/blushing-blush-anime-girl-yay-gif-12830507,https://c.tenor.com/PRFdZoBnM5UAAAAC/blushing-blush.gif
based,woaw;based,https://tenor.com/view/waow-based-wow-thinking-doodle-gif-12262272166408784207,https://c.tenor.com/qixXkSn0iU8AAAAC/waow-based.gif
meanie,meanie;wag,https://cdn.discordapp.com/attachments/953555395643842580/1230208779329732608/500.gif?ex=691ea775&is=691d55f5&hm=e059603c54fd2dea91c5a7a356dcfa3738e4d3aa19bcf3db9ec5ed52593ab630&,https://cdn.discordapp.com/attachments/953555395643842580/1230208779329732608/500.gif?ex=691ea775&is=691d55f5&hm=e059603c54fd2dea91c5a7a356dcfa3738e4d3aa19bcf3db9ec5ed52593ab630&
Really???,hazbin hotel;really;???,https://tenor.com/view/hazmat-vaggie-hazbin-hotel-what-do-you-think-really-seriously-gif-14088707763283608146,https://c.tenor.com/w4UlEMbOwlIAAAAC/hazmat-vaggie-hazbin-hotel.gif
Kiss,anime;kiss;cutie,https://tenor.com/view/anime-kiss-cute-kiss-anime-cute-relationship-stop-being-so-cute-gif-21113570,https://c.tenor.com/s0OSiAXTGlEAAAAC/anime-kiss-cute-kiss.gif
Happi!,puppygirl;happy;dancing,https://tenor.com/view/crispytyph-crispytyph-die-lit-typh-die-lit-gif-2570713331010160943,https://c.tenor.com/I60CJ4I4yS8AAAAC/crispytyph-crispytyph-die-lit.gif
Excited Hug,excited;hug,https://tenor.com/view/oomfie-hug-mayburi-bridget-may-gif-11343093385535605455,https://c.tenor.com/nWrDVfruys8AAAAC/oomfie-hug.gif
Bounci,bouncy,https://cdn.discordapp.com/emojis/1155918238442606713.gif?size=48&animated=true&name=hypershiggy,https://cdn.discordapp.com/emojis/1155918238442606713.gif?size=48&animated=true&name=hypershiggy
:3,:3,https://tenor.com/view/cat-gif-12450451651611168773,https://c.tenor.com/rMjjz9N1kAUAAAAC/cat.gif
